Num Test                              Secs Status    Score    Remark
735 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
736 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
737 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
738 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
739 puzzle_solution(inout) ...        0.02   PASS   1.0/1.0   
740 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
741 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
742 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
743 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
744 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
745 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
746 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
747 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
748 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
749 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
750 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
751 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
752 puzzle_solution(inout) ...        0.02   PASS   1.0/1.0   
753 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
754 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
755 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
756 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
757 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
758 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
759 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
760 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
761 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
762 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
763 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
764 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
765 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
766 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
767 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
768 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
769 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
770 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
771 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
772 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
773 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
774 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
775 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
776 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
777 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
778 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
779 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
780 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
781 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
782 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
783 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
784 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
785 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
786 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
787 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
788 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
789 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
790 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
791 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
792 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
793 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
794 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
795 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
796 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
797 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
798 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
799 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
800 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
801 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
802 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
803 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
804 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
805 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
806 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
807 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
808 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
809 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
810 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
811 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
812 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
813 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
814 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
815 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
816 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
817 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
818 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
819 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
820 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
821 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
822 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
823 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
824 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
825 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
826 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
827 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
828 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
829 puzzle_solution(inout) ...        0.02   PASS   1.0/1.0   
830 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
831 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
832 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
833 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
834 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
835 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
836 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
837 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
838 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
839 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
840 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
841 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
842 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
843 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
844 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
845 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
846 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
847 puzzle_solution(inout) ...        0.02   PASS   1.0/1.0   
848 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
849 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
850 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
851 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
852 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
853 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
854 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
855 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
856 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
857 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
858 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
859 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
860 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
861 puzzle_solution(inout) ...        0.02   PASS   1.0/1.0   
862 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
863 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
864 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
865 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
866 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
867 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
868 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
869 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
870 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
871 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
872 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
873 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
874 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
875 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
876 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
877 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
878 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
879 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
880 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
881 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
882 puzzle_solution(inout) ...        0.02   PASS   1.0/1.0   
883 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
884 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
885 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
886 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
887 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
888 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
889 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
890 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
891 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
892 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
893 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
894 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
895 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
896 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
897 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
898 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
899 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
900 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
901 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
902 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
903 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
904 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
905 puzzle_solution(inout) ...        0.02   PASS   1.0/1.0   
906 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
907 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
908 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
909 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
910 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
911 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
912 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
913 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
914 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
915 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
916 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
917 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
918 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
919 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
920 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
921 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
922 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
923 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
924 puzzle_solution(inout) ...        0.02   PASS   1.0/1.0   
925 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
926 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
927 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
928 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
929 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
930 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
931 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
932 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
933 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
934 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
935 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
936 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
937 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
938 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
939 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
940 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
941 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
942 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
943 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
944 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
945 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
946 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
947 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
948 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
949 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
950 puzzle_solution(inout) ...        0.02   PASS   1.0/1.0   
951 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
952 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
953 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
954 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
955 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
956 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
957 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
958 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
959 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
960 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
961 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
962 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
963 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
964 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
965 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
966 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
967 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
968 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
969 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
970 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
971 puzzle_solution(inout) ...        0.02   PASS   1.0/1.0   
972 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
973 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
974 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
975 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
976 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
977 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
978 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
979 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
980 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
981 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
982 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
983 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
984 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
985 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
986 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
987 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
988 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
989 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
990 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
991 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
992 puzzle_solution(inout) ...        0.02   PASS   1.0/1.0   
993 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
994 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
995 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
996 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
997 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
998 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
999 puzzle_solution(inout) ...        0.00   PASS   1.0/1.0   
1000 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1001 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1002 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1003 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1004 puzzle_solution(inout) ...       0.02   PASS   1.0/1.0   
1005 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1006 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1007 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1008 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1009 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1010 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1011 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1012 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1013 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1014 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1015 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1016 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1017 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1018 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1019 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1020 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1021 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1022 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1023 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1024 puzzle_solution(inout) ...       0.02   PASS   1.0/1.0   
1025 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1026 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1027 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1028 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1029 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1030 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1031 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1032 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1033 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1034 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1035 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1036 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1037 puzzle_solution(inout) ...       0.02   PASS   1.0/1.0   
1038 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1039 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1040 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1041 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1042 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1043 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1044 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1045 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1046 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1047 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1048 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1049 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1050 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1051 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1052 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1053 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1054 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1055 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1056 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1057 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1058 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1059 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1060 puzzle_solution(inout) ...       0.02   PASS   1.0/1.0   
1061 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1062 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1063 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1064 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1065 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1066 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1067 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1068 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1069 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1070 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1071 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1072 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1073 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1074 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1075 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1076 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1077 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1078 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1079 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1080 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1081 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1082 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1083 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1084 puzzle_solution(inout) ...       0.02   PASS   1.0/1.0   
1085 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1086 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1087 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1088 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1089 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1090 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1091 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1092 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1093 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1094 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1095 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1096 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1097 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1098 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1099 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1100 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1101 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1102 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1103 puzzle_solution(inout) ...       0.02   PASS   1.0/1.0   
1104 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1105 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1106 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1107 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1108 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1109 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1110 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1111 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1112 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1113 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1114 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1115 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1116 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1117 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1118 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1119 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1120 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1121 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1122 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1123 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1124 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1125 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1126 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1127 puzzle_solution(inout) ...       0.02   PASS   1.0/1.0   
1128 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1129 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1130 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1131 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1132 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1133 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1134 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1135 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1136 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1137 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1138 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1139 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1140 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1141 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1142 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1143 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1144 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1145 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1146 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1147 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1148 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1149 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1150 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1151 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1152 puzzle_solution(inout) ...       0.00   PASS   1.0/1.0   
1153 puzzle_solution(inout) ...       0.02   PASS   1.0/1.0   
